username,payout,points,total_payout,total_points,total_wus,created_at
hzio64gzl4vb,34.46,355506,4091.63,33246405,407,2021-06-27T07:31:36.158Z
hyl7b164bef9,23.49,95968,3842.71,22073792,199,2021-04-28T07:07:52.797Z
hyq96uxvue16,99.59,953614,6255.78,46986010,784,2021-05-25T19:02:41.319Z
hzeszsy1qne7,6.08,38612,4600.36,7177847,1301,2021-02-21T04:22:39.190Z
hy9y6ja0wyvf,8.17,34618,3954.64,17310723,624,2021-05-22T05:51:20.940Z
hxj56bcbvxet,2.58,5780,152.81,903681,45,2021-08-12T19:16:31.660Z
hyq2u1s06a9f,36.48,213932,6171.06,37145257,499,2021-06-17T02:43:01.334Z
hxnqhtmt2n9z,26.62,174690,18026.23,101281208,751,2021-02-28T13:08:10.195Z
hwzx7xiv7xhf,23.61,140220,13513.61,83530298,1475,2021-04-07T12:03:30.572Z
hv76wmd7t7l0,2.78,16803,2300.36,9479689,272,2021-05-08T01:10:33.83Z
hveqf7jy0204,28.0,257870,6302.98,39417794,537,2021-04-27T17:56:44.576Z
hwnd683i15fd,33.89,345832,3746.18,30405946,386,2021-06-27T07:26:55.129Z
hublmazkj8zn,4.76,8368,5889.91,2078595,541,2019-11-23T02:53:59.837Z
hwaph63crcn8,51.53,331393,6166.04,38181161,500,2021-06-17T02:46:42.55Z
hu68nomws8hu,37.12,400288,3930.29,32211262,381,2021-06-28T10:27:06.305Z
hupw0rf41x9l,16.35,219885,12443.14,87711832,823,2021-03-02T05:38:32.662Z
hu48xse7wsp9,25.48,224578,3929.25,31831063,387,2021-06-28T10:23:22.153Z
hsvkxbxmukz1,24.68,214317,1997.23,15462729,191,2021-06-27T02:18:00.843Z
hsvbpvmork8b,19.08,151110,2314.13,11145668,129,2021-05-04T01:01:42.864Z
htt4hp6kij0l,6.64,23263,1849.95,4634872,291,2021-05-29T15:53:36.474Z
htvhk17yk3o4,39.35,442819,3488.81,28836345,353,2021-06-27T07:25:52.299Z
hsq7n86u9k1h,27.53,251650,2928.92,24214153,319,2021-06-22T09:54:08.55Z
hu0yr6tbe194,4.27,26518,4456.48,32466015,403,2021-05-08T22:40:19.927Z
ht93li7z0il9,4.63,11070,1184.12,1024155,146,2021-06-09T16:49:00.471Z
hswuiek9giyp,27.28,248339,6495.5,46467934,439,2021-05-22T17:24:14.642Z
hsprgd3v6qs4,33.28,1141001,4105.88,33845707,259,2021-03-03T06:13:22.703Z
hsvvojpo2afg,10.26,73700,3332.22,11108970,747,2021-04-18T21:38:41.502Z
hrarybwcfs0x,33.82,344641,226.95,1999464,24,2021-08-21T07:44:06.488Z
hrhabpmaq1h6,29.64,280706,3456.82,28454021,359,2021-06-28T10:28:47.423Z
hr30982jnpj7,1.93,10838,2910.48,11356257,456,2021-04-29T02:53:53.981Z
hql8zoqtq5j3,42.27,245872,6392.02,38520652,456,2021-06-16T04:43:36.459Z
hpy7892r44de,16.69,126526,1203.72,8436793,161,2021-07-28T17:51:03.205Z
hrw03gi0ig5r,42.9,1005804,6509.25,70890583,518,2021-04-25T07:28:07.825Z
hrwuhjfbdy2y,46.56,597400,10184.14,109148514,662,2021-05-17T11:44:35.86Z
hqya970l3gqj,2.6,8368,1407.96,2784489,348,2021-05-11T07:10:15.750Z
hputw444cvrs,51.5,723037,8682.68,99671585,539,2021-05-06T01:43:27.399Z
hqw0ccsu9bd7,31.94,1042604,204921.06,406868758,2927,2019-04-19T03:43:57.86Z
hpk0xnijwyao,13.4,96369,1857.4,7682757,145,2021-04-20T00:25:05.960Z
hoobi07r9x8b,30.52,293760,3152.05,25843860,328,2021-06-22T09:52:14.797Z
hn28d90fezih,24.37,210697,318.65,2766782,25,2021-08-18T16:16:32.631Z
hmjf8v9zqtxl,26.37,236246,167.57,1545734,24,2021-07-06T03:02:56.914Z
hmjmlx7y7frq,33.93,346528,3248.36,26125654,354,2021-06-22T09:57:30.816Z
hmil5hrqvckn,17.62,70550,2626.44,11792817,397,2021-06-01T09:19:44.434Z
hprdp1ayd0n5,37.55,408729,2542.15,19745765,243,2021-06-27T02:11:45.852Z
hnlx27dlsgv4,30.58,159129,6458.59,39040067,503,2021-06-16T04:41:45.694Z
hlr5grp8xsm1,12.97,61514,5112.7,19445115,673,2021-04-24T21:29:03.882Z
hlmswbvc91j4,2.6,8368,2104.14,11114642,318,2021-05-25T12:51:46.787Z
hlimpl8hrgfb,7.22,47021,4643.93,12133297,553,2021-03-18T02:54:32.953Z
hkg54405kwr7,52.34,747502,7802.07,90333540,1147,2021-05-04T07:33:55.127Z
hl3ndmj1rtwi,3.75,17221,11934.23,159157751,971,2021-05-08T01:54:18.444Z
hkwvk5qhk0fk,2.89,17526,1632.59,4847634,270,2021-05-21T00:13:38.933Z
hk9wpota4s8p,2.62,7210,190.2,206037,32,2021-05-23T07:08:58.802Z
hkdhmb9bh154,40.58,466054,3189.02,25591645,103,2021-06-18T21:19:11.698Z
hkywpjx9t1vz,24.13,207865,6814.04,19188197,510,2021-03-02T01:47:24.75Z
